is_mt,latitude,longitude
1,40.777874,-73.9517434
0,40.7298096,-73.7446821
1,40.7143621,-74.0083868
0,40.7083558,-73.9609841
0,40.6644888,-73.983585
1,40.760229,-73.9615205
0,40.6402629,-74.019025
0,40.7564512,-73.8855425
0,40.63962,-73.95477
0,40.684277,-73.78302
1,40.7694395,-73.9518578
1,40.7466186,-73.9938142
1,40.828974,-73.9485915
0,40.6715676,-73.784653
0,40.6652326,-73.9314554
0,40.6251048,-74.1487686
0,40.655212,-73.93272
1,40.781688,-73.9489603
0,40.765057,-73.8129201
0,40.6376751,-73.9081177
0,40.5905019,-73.9509499
0,40.6830924,-73.9107701
0,40.7511996,-73.8902615
1,40.7521597,-73.9874902
0,40.71562,-73.9358
0,40.7344418,-73.7217767
0,40.6674142,-73.8247831
0,40.7015661,-73.9433233
1,40.7920934,-73.9736473
0,40.703,-73.94423
0,40.6849391,-73.9101331
1,40.7413501,-73.9813106
0,40.5865013,-74.1045498
0,40.6678526,-73.9210207
1,40.777874,-73.9517434
0,40.66537,-73.73254
0,40.6362657,-74.1175085
0,40.766925,-73.8354707
0,40.6336053,-73.9162226
1,40.7317065,-74.0009562
0,40.6997084,-73.9571664
0,40.7143249,-73.8074208
0,40.6512513,-73.8689472
0,40.6661202,-73.8222416
0,40.6815201,-73.9832635
0,40.6585778,-73.8906229
0,40.7017656,-73.8079259
0,40.6936625,-73.8521639
1,40.8287298,-73.948758
0,40.7020459,-73.9155992
0,40.6637537,-73.9371593
0,40.651398,-73.75888
0,40.6801321,-73.8468687
0,40.7538116,-73.7063054
0,40.7424945,-73.8886952
0,40.5946375,-73.9330114
1,40.7564966,-73.972362
0,40.6740285,-73.7344598
1,40.7903142,-73.9476861
0,40.6959932,-73.983213
0,40.6866522,-73.8091702
1,40.7373607,-73.996839
0,40.617382,-73.943474
0,40.7036356,-73.7523203
0,40.7356334,-73.876016
0,40.6726306,-73.736249
0,40.7025344,-73.8735133
0,40.72033,-73.76115
0,40.7039707,-73.8904078
0,40.7264661,-73.8594187
1,40.7128006,-73.9971179
0,40.5851593,-73.9873883
1,40.735203,-73.9917
0,40.6791842,-73.9412764
0,40.6949484,-73.9920989
0,40.7612179,-73.7707868
0,40.609985,-73.96239
0,40.6840616,-73.7287222
1,40.7530241,-73.9854111
0,40.6459461,-73.9950956
0,40.6498688,-73.9340839
0,40.5595985,-74.1601499
0,40.7453924,-73.9066122
0,40.6375782,-73.9259207
0,40.6896738,-73.9661334
0,40.7888417,-73.8138031
1,40.7422847,-74.0044171
1,40.8064149,-73.9422623
1,40.7967631,-73.945095
0,40.571041,-74.1091833
0,40.6524639,-73.9228481
0,40.6857317,-74.0023581
1,40.760536,-73.95836
0,40.6508071,-73.9495721
1,40.803123,-73.9404375
0,40.7479271,-73.881136
0,40.7518413,-73.9480519
0,40.5903421,-74.0666242
0,40.681486,-73.9770225
1,40.8215413,-73.9428634
1,40.7144059,-73.9902208
0,40.654591,-73.9078422
0,40.6718281,-73.774497
0,40.58313,-73.9654
0,40.662468,-73.921646
0,40.7259197,-73.8953397
0,40.6948461,-73.9538951
0,40.6724917,-73.8518503
0,40.6341296,-73.9285006
0,40.7500238,-73.7062968
0,40.6339973,-73.9477726
1,40.7266011,-74.0074323
0,40.596541,-73.9353681
0,40.6723371,-73.7737419
0,40.7488634,-73.8927087
1,40.8018159,-73.9392864
0,40.7747112,-73.9333863
1,40.75642,-73.99038
0,40.6289412,-74.1161879
